fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220424 002203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	402	TRUE	0.0102892544897932	0.656503871921764	2767	577	0.0144912661948845	13579000	103
20220424 002221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.0464925254481719	0.903534750569297	4	18	0.00837446416669376	12359000	104
20220424 002250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.107760199757738	0.842241628265129	2867	32	0.0125616495601705	12604000	105
20220424 002549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.010033829167581	0.543448006155475	1	42	0.0158836826875727	12219000	106
20220424 002610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.247758521949169	0.523183580337184	3843	1023	0.0178038858825835	12513000	107
20220424 002626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.146072195172092	0.200084703941057	12	19	0.0499977276848502	1602000	108
20220424 002642	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.28482565988138	0.200791587189708	7993	916	0.00833540670910166	10578000	109
20220424 002654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.260878894512946	0.996679028882066	7984	864	0.0157536356857041	13033000	110
20220424 002708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299984639659803	0.857301857058156	3807	672	0.0122865129135819	11894000	111
20220424 002932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.0100288572838065	0.828633284262675	1470	240	0.00999007454009531	12649000	112
20220424 003226	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	422	TRUE	0.0102133335702369	0.506615025308652	4329	234	0.0173442086084822	13822000	113
20220424 003720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1081	TRUE	0.0100390423212877	0.20168936293686	2687	553	0.0156632565724946	13486000	114
20220424 003927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	215	TRUE	0.0109894152518347	0.941777732535765	35	51	0.0161317599856083	12380000	115
20220424 003945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.127136666345493	0.999489148138621	5933	883	0.0159793585358121	13164000	116
20220424 004132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	7	TRUE	0.297216735826315	0.200047114124134	69	735	0.0157599536101938	4939000	117
20220424 004456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	542	TRUE	0.0100213566608221	0.516121619222139	3996	1023	0.0174712701015405	13871000	118
20220424 004541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.0986091951906309	0.999458083265478	1009	132	0.0120140463803969	12416000	119
20220424 004559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.171849386707151	0.999999204471558	2956	586	0.0150032008793402	13040000	120
